cliente_id,nome,cpf,email
3,Lauren Gillespie,45637803713,danielle37@example.org
4,Joseph Escobar,26118110250,susan49@example.net
5,Wanda Nichols,67190476448,craigfreeman@example.org
6,Lindsey Davis,56683664237,johnathan77@example.com
7,Annette Mccoy,60866792592,nbrandt@example.net
8,James Bennett,89889518225,andersonlynn@example.com
9,Rachel Hudson,89573984800,brandon28@example.net
10,Jennifer Patton,84385718181,tcook@example.net
11,Lisa Ellis,49665966139,cnorman@example.com
12,Tamara Escobar,72035205473,jblankenship@example.net
13,Andrea Miller,61970763205,anna05@example.org
14,James Clark,85072984412,yvonne95@example.org
15,Kimberly Foley,21640284416,cbolton@example.com
16,Christopher Smith,83917319465,garyjones@example.org
17,Jamie Swanson,62917966529,dylan82@example.com
18,William Carter,77994925992,jason38@example.org
19,Michael Jackson,83490891765,john38@example.org
20,Lisa Newman,16865170845,zdaniel@example.com
21,Tiffany Robertson,21656468763,leestanley@example.com
22,Jennifer Lamb,68905960291,shannonjones@example.com
23,Erin Anderson,16368267977,jenningsdeborah@example.org
24,Travis Johnson,83289620711,gregory57@example.org
25,Catherine Henry,85279066732,william86@example.com
26,Kelly Davis,55536235047,denniswalker@example.net
27,John Wagner,93723774676,ybriggs@example.net
28,Brett Conner,41425504433,aayala@example.com
29,Derek Banks,84800605689,jayhall@example.net
30,Caitlin Espinoza,44231702388,harrisonchad@example.com
31,Keith Green,18115104934,morrisonkelsey@example.net
32,Casey Lee,53893630399,jhenry@example.org
33,Mathew Cross,50212246817,ofuller@example.net
34,Nathaniel Wood,12338655112,blackburnrichard@example.org
35,Dustin Wagner,81716116477,gravesalicia@example.net
36,Shane Mcgee,38515495827,ocross@example.org
37,Jacob Meyer,46787583382,eperez@example.com
38,Suzanne Pace,71520898712,hollandstephanie@example.net
39,Janet Clark,67878178688,david96@example.org
40,Makayla Fisher,92571706137,codyfletcher@example.org
41,Allison Willis,92462900505,ryan28@example.com
42,Audrey Jones,90680404968,dianaerickson@example.org
43,Bradley Grant,37430194219,xwilliams@example.com
44,Amanda Mills,50940601028,erica65@example.com
45,Jenna Smith,74159919685,scotthall@example.com
46,Adam Jones,59823380989,cfisher@example.net
47,Carrie Moore,33092357338,robert71@example.net
48,Madison Powell,83299089433,marthastone@example.com
49,Luis Valencia,96881391048,deanfelicia@example.org
50,Kayla Chambers,54400677620,louis36@example.com
51,Michael Robinson,61660968192,ndouglas@example.com
52,Ashley Myers,96353147509,myersjessica@example.com
53,Kenneth Green,99862565571,hernandezcatherine@example.com
54,Nicole Gibson,21812302846,angel19@example.net
55,Angela Hahn,80260053163,qsparks@example.org
56,Virginia Mason,35910894545,gregoryhinton@example.org
57,Bianca Chase MD,68566178892,fyoung@example.com
58,John Washington,82856820293,victor55@example.org
59,Mary Smith,89790415403,duncangeorge@example.com
60,Jessica Little,33475930105,brittany51@example.org
61,Jessica Mitchell,66310403108,melissa45@example.net
62,David Watson,58753702791,johnsondavid@example.net
63,Stephanie Harris,92478990618,mwelch@example.com
64,Priscilla Meyer,11554749944,williamspaul@example.org
65,Justin Taylor,57375811879,briggsjeremy@example.com
66,Tanner Kline,49485801340,keithgonzalez@example.org
67,Jordan Hall,99948745180,samanthamurray@example.org
68,Gregory Marshall,38120790769,wrightangela@example.org
69,Gordon Brown,90942568934,michelle31@example.org
70,Julie Gardner,50492983692,rmcknight@example.com
71,Mr. Kevin Hodges MD,17665407470,daltonvelazquez@example.org
72,Angela Flores,82607819418,villegasjohnny@example.com
73,Michael Ware,56697170358,ejohnson@example.net
74,Dean Smith,99877279313,aberger@example.com
75,Toni Pierce,97728809668,storres@example.com
76,Joyce Aguilar,63084171899,rosesharon@example.com
77,Heather Price,62700524638,stephanie95@example.net
78,Travis Brown,31345274216,ramirezryan@example.com
79,Samantha Barnes,84277060995,vdecker@example.org
80,Anthony Jordan,66938146037,mikemccoy@example.org
81,Wendy Woods,19391215905,greg35@example.net
82,Peter Levine,31602853402,pking@example.com
83,Shannon Hill,36016162231,andersonlynn@example.com
84,Scott Hill,86143422285,hollythomas@example.org
85,Bianca Lewis,39899610516,bowenlance@example.net
86,Stephanie Hamilton,33448790788,lpalmer@example.net
87,Amanda Molina,67801637147,wnguyen@example.org
88,Kevin Jones,55416101650,thomas59@example.net
89,Jennifer Stafford,36554106786,qmarsh@example.org
90,Mason Holloway,50701900605,lauracohen@example.net
91,Jesse Bauer,97223774406,derekmccarthy@example.com
92,Warren Deleon,43843972650,bsandoval@example.org
93,Danielle Lawrence,24169591236,turnerholly@example.com
94,Tyler Rose,51311958263,ivanwilson@example.com
95,Marilyn Price,78552548802,wolfbrian@example.com
96,Jessica Gibson,14554365257,fhansen@example.org
97,Christopher Friedman,18010880842,billy44@example.org
98,Madeline Martinez,17155417843,nicholas45@example.com
99,Kimberly Gonzalez,68990281025,william18@example.net
100,Destiny Sellers,18752771785,anthonymorgan@example.org
101,Aaron Jackson,95720486959,david35@example.org
102,Kevin Edwards,91817801535,richardsonsherry@example.org
